"original_name"	"broad_type"
"distal tubule cell"	"epithelial cell"
"glomerular cell"	"renal cell"
"antigen presenting cell"	"immune cell"
"ribosomal cells"	"other"
"prostate cells"	"epithelial cell"
"glial cells"	"glial cell"
"extracellular matrix cells"	"connective tissue cell"
"mammary epithelial cells"	"epithelial cell"
"retinal cells"	"neuronal cell"
"pancreatic islet cell"	"endocrine cell"
"pulmonary neuroendocrine cells"	"neuronal cell"
"corneal keratocyte"	"connective tissue cell"
"retinal pigmented epithelial cell"	"epithelial cell"
"retinal bipolar cell"	"neuronal cell"
"colon stem cell"	"stem cell"
"alveolar type i cell"	"epithelial cell"
"proliferating epithelial cell"	"epithelial cell"
"neuronal progenitor cell"	"stem cell"
"granule cell"	"neuronal cell"
"renal tubule cell"	"renal cell"
"synaptic cell"	"neuronal cell"
"choroid plexus epithelial cell"	"epithelial cell"
"lens epithelial cell"	"epithelial cell"
"kidney proximal tubule cell"	"epithelial cell"
"collecting duct intercalated cell"	"epithelial cell"
"transitional epithelial cell"	"epithelial cell"
"hematopoietic progenitor cell"	"hematopoietic cell"
"hematopoietic cell"	"hematopoietic cell"
"cell cycle phase-specific cell"	"cell cycle-related"
"ribosomal protein"	"ribosomal"
"tumor cell"	"malignant cell"
"0.111447191238403"	"unknown"
"beta defensin-producing cell"	"immune cell"
"heat shock protein-producing cell"	"immune cell"
"cl:0000623"	"unknown"
"0.0540588200092316"	"unknown"
"b cell lymphoma cell"	"malignant cell"
"corneal cell"	"epithelial cell"
"m cell"	"epithelial cell"
"non-coding rna"	"non-coding rna"
"plasma b-cell"	"B cell"
"nkt-cell"	"t/nk cell"
"cd4+ t-cell"	"t/nk cell"
"cd8+ t-cell"	"t/nk cell"
"proliferating cd8+ t-cell"	"t/nk cell"
"ilc"	"t/nk cell"
"oligodendrocyte progenitor"	"glial cell"
"schwann"	"glial cell"
"ductal"	"epithelial cell"
"delta"	"epithelial cell"
"alpha"	"epithelial cell"
"beta"	"stromal cell"
"fetal leydig cell"	"stromal cell"
"mesenchymal stromal cell"	"stromal cell"
"metanephric mesenchyme"	"glial cell"
"ependymal cell"	"epithelial cell"
"syncytiotrophoblast cell"	"epithelial cell"
"thymic epithelial cells"	"immune cell"
"thymic dendritic cells"	"epithelial cell"
"goblet"	"epithelial cell"
"loop of henle"	"epithelial cell"
"mesenchymal stromal"	"stromal cell"
"intercalated"	"epithelial cell"
"cdc1"	"dendritic cell"
"cdc2"	"dendritic cell"
"alveolar type 2"	"epithelial cell"
"alveolar type 1"	"epithelial cell"
"t follicular helper cells"	"t/nk cell"
"nk"	"t/nk cell"
"liver sinusoidal endothelial cells"	"endothelial cell"
"plasma b cell"	"B cell"
"alveolar cells"	"epithelial cell"
"thyroid cells"	"epithelial cell"
"gastric chief cells"	"epithelial cell"
"mucous cells"	"epithelial cell"
"sperm"	"germ cell"
"mhc class ii positive cell"	"immune cell"
"alveolar cell type 2"	"epithelial cell"
"principal"	"epithelial cell"
"cytotoxic t"	"t/nk cell"
"cl:0002324"	"unknown cell"
"parietal"	"epithelial cell"
"leydig"	"stromal cell"
"pancreatic alpha"	"endocrine cell"
"gastric chief"	"epithelial cell"
"trophoblast giant"	"trophoblast"
"club"	"epithelial cell"
"ependymal"	"glial cell"
"squamous epithelial"	"epithelial cell"
"basal epithelial"	"epithelial cell"
"luminal epithelial"	"epithelial cell"
"lymphatic endothelial"	"endothelial cell"
"vascular endothelial"	"endothelial cell"
"lipofibroblast"	"stromal cell"
"alveolar type i"	"epithelial cell"
"alveolar type ii"	"epithelial cell"
"lymphatic"	"immune cell"
"satellite"	"stromal cell"
"glandular"	"epithelial cell"
"rod photoreceptor"	"epithelial cell"
"corneal epithelial"	"epithelial cell"
"proliferating"	"proliferating cell"
"absorptive enterocytes"	"epithelial cell"
"entoendocrine cells"	"epithelial cell"
"tendon"	"connective tissue cell"
"gamma cell"	"endocrine cell"
"luminal epithelial"	"epithelial cell"
"serous acinar cells"	"secretory cell"
"cajal-retzius cell"	"neuronal cell"
"martinotti cell"	"neuronal cell"
"basket cell"	"neuronal cell"
"layer 6 neuron"	"neuronal cell"
"chandelier cell"	"neuronal cell"
"neurogliaform cell"	"neuronal cell"
"cortical interneuron"	"neuronal cell"
"layer 5 neuron"	"neuronal cell"
"ng2 glial cell"	"glial cell"
"parvalbumin-positive interneuron"	"neuronal cell"
"somatostatin-positive interneuron"	"neuronal cell"
"vip-positive interneuron"	"neuronal cell"
"sympathetic neuron"	"neuronal cell"
"immature red blood cell"	"erythroid cell"
"radial glial cell"	"neural cell"
"purkinje cell"	"neural cell"
"chondroprogenitor cell"	"connective tissue cell"
"pancreatic_acinar_cell"	"epithelial cell"
"metanephric_mesenchymal_cell"	"connective tissue cell"
"pancreatic_ductal_cell"	"epithelial cell"
"retinal_pigment_epithelial_cell"	"epithelial cell"
"cardiac_muscle_cell"	"muscle cell"
"oral_epithelial_cell"	"epithelial cell"
"gastric_mucous_neck_cell"	"epithelial cell"
"trophoblastic_cell"	"placental cell"
"neural_crest_cell"	"neural cell"
"enteric_neural_progenitor_cell"	"neural cell"
"spermatozoon"	"germ cell"
"mesothelial_cell"	"epithelial cell"
"gastric_chief_cell"	"epithelial cell"
"amacrine_cell"	"neural cell"
"enteric_neural_cell"	"neural cell"
"intestinal_goblet_cell"	"epithelial cell"
"myeloid_cell"	"myeloid cell"
"lens_fiber_cell"	"epithelial cell"
"type 1 pneumocyte"	"epithelial cell"
"loop of henle cell"	"epithelial cell"
"immature dendritic cell"	"myeloid cell"
"pro t cell"	"t/nk cell"
"pro b cell"	"B cell"
"m2 macrophage"	"myeloid cell"
"tissue resident macrophage"	"myeloid cell"
"mature dendritic cell"	"myeloid cell"
"pro b cell"	"B cell"
"hepatic stellate cell"	"stromal cell"
"chief_cell"	"epithelial cell"
"stem_cell"	"stem cell"
"goblet_cell"	"epithelial cell"
"cl:0002079"	"immune cell"
"immune_cell"	"immune cell"
"schwann_cell"	"neural cell"
"embryonic_stem_cell"	"stem cell"
"primordial_germ_cell"	"germ cell"
"neural_progenitor"	"progenitor cell"
"steroidogenic_cell"	"endocrine cell"
"cardiac_fibroblast"	"fibroblast"
"leydig_cell"	"endocrine cell"
"stratified epithelial cell"	"epithelial cell"
"mastcell"	"immune cell"
"cancerassociatedfibroblasts"	"fibroblast"
"luminalepithelialcells"	"epithelial cell"
"esophageal squamous cells"	"epithelial cell"
"merkel"	"epithelial cell"
"tumor associated macrophage"	"immune cell"
"cl:0000851"	"immune cell"
"cancer associated fibroblast"	"fibroblast"
"tumor associated macrophage"	"immune cell"
"tumor associated macrophages"	"immune cell"
"trophic macrophage"	"immune cell"
"hyalocyte"	"immune cell"
"iridial pigment epithelial cell"	"epithelial cell"
"bipolar cell"	"neural cell"
"nkcell"	"t/nk cell"
"smoothmuscle"	"smooth muscle cell"
"proximal convoluted tubule cells"	"epithelial cell"
"sinusoidal endothelial cell"	"endothelial cell"
"stem"	"stem cell"
"red blood cell"	"red blood cell"
"ito cell"	"stellate cell"
"plasmablasts"	"B cell"
"treg cells"	"T/NK cell"
"bipolar cell"	"neuronal cell"
"islet cell"	"endocrine cell"
"cone photoreceptor"	"neuronal cell"
"corneal epithelial"	"epithelial cell"
"alveolar epithelial cell"	"epithelial cell"
"proximal tubule cells"	"epithelial cell"
"collecting duct cells"	"epithelial cell"
"distal nephron cells"	"epithelial cell"
"cancer cells"	"malignant cell"
"carcinosarcoma"	"malignant cell"
"0.0429957509040833"	"unknown"
"prostate luminal"	"epithelial cell"
"cancer associated fibroblasts"	"fibroblast"
"prostatic acinar"	"epithelial cell"
"smooth muscle cells"	"muscle cell"
"cl:4033094"	"unknown"
"plasmacytoid dendritic cell neoplasm"	"malignant cell"
"plasmacytoma"	"B cell"
"colon cancer stem cells"	"malignant cell"
"colony-stimulating factor-1 macrophage"	"macrophage"
"reticulocyte"	"erythroid cell"
"intestinal stem cells"	"stem cell"
"alveolar epithelial cells"	"epithelial cell"
"type i pneumocytes"	"epithelial cell"
"t follicular helper cells"	"t/nk cell"
"double negative t cells"	"t/nk cell"
"regulatory t cells"	"t/nk cell"
"thymocytes"	"t/nk cell"
"follicular dendritic cells"	"stromal cell"
"dendrocyte"	"dendritic cell"
"cancer stem cells"	"malignant cell"
"kidney epithelial cell"	"epithelial cell"
"immature erythrocyte"	"erythroid cell"
"metanephric cell"	"epithelial cell"
"lens epithelial cell"	"epithelial cell"
"arterial endothelial cell"	"endothelial cell"
"capillary endothelial cell"	"endothelial cell"
"immature sertoli cell"	"supporting cell"
"0.125720202922821"	"unknown"
"cl:0000017"	"unknown"
"proton pump intercalated cell"	"epithelial cell"
"0.1211878657341"	"unknown"
"lipid-associated alveolar macrophages"	"immune cell"
"tissue-resident macrophages"	"immune cell"
"bestrophin cell"	"neuron"
"natural killer t cells"	"neuron"
"excitatory neurons"	"neuron"
"inhibitory neurons"	"kidney cell"
"adrenergic neurons"	"mesothelial cell"
"kidney cells"	"retinal cell"
"mesothelial cells"	NA
"retinal cells"	NA
"pancreatic cells"	"epithelial cell"
"gastric mucous cells"	"epithelial cell"
"cholinergic neurons"	"neuronal cell"
"parietal cells"	"epithelial cell"
"lens fiber cells"	"epithelial cell"
"thymic epithelial cells"	"epithelial cell"
"mitotic cells"	"proliferating cell"
"salivary acinar cells"	"epithelial cell"
"peritubular capillary endothelial cells"	"endothelial cell"
"proximal straight tubule cells"	"epithelial cell"
"natural killer t cells"	"t/nk cell"
"plasmacytoid dendritic cells"	"dendritic cell"
"myeloid dendritic cells"	"dendritic cell"
"liver vascular endothelial cells"	"endothelial cell"
"thyroid epithelial cells"	"epithelial cell"
"ribosome biogenesis cells"	"proliferating cell"
"gastric chief cells"	"epithelial cell"
"gastric parietal cells"	"epithelial cell"
"renal tubular cells"	"epithelial cell"
"ciliated epithelial cells"	"epithelial cell"
"embryonic stem cells"	"stem cell"
"sperm cells"	"germ cell"
"gastric mucosa cells"	"epithelial cell"
"mammary gland cells"	"epithelial cell"
"kidney tubular cells"	"epithelial cell"
"leydig cells"	"stromal cell"
"intercalated cells"	"epithelial cell"
"luminal progenitor cells"	"stem cell"
"stratified epithelial cells"	"epithelial cell"
"sweat gland cells"	"epithelial cell"
"basal keratinocytes"	"epithelial cell"
"suprabasal keratinocytes"	"epithelial cell"
"rod photoreceptors"	"neuronal cell"
"corneal keratocytes"	"stromal cell"
"epidermal stem cells"	"stem cell"
"salivary gland cells"	"epithelial cell"
"ciliary epithelial cells"	"epithelial cell"
"retinal ganglion cells"	"neuronal cell"
"tuft cells"	"epithelial cell"
"tendon cells"	"stromal cell"
"beta cells"	"endocrine cell"
"alpha cells"	"endocrine cell"
"delta cells"	"endocrine cell"
"glandular cells"	"epithelial cell"
"neuropeptide neuron"	"neuron"
"muscle progenitor cells"	"progenitor cell"
"renal cells"	"renal cell"
"nephron progenitor cells"	"progenitor cell"
"renal tubule cells"	"renal cell"
"gastric mucous cells"	"epithelial cell"
"enteric neurons"	"neuron"
"ciliated epithelial cells"	"epithelial cell"
"synovial fibroblasts"	"fibroblast"
"parietal cells"	"epithelial cell"
"salivary gland epithelial cells"	"epithelial cell"
"lens fiber cells"	"epithelial cell"
"placental trophoblasts"	"epithelial cell"
"thymic epithelial cell"	"epithelial cell"
"alveolar epithelial type i cells"	"epithelial cell"
"thyroid follicular cell"	"epithelial cell"
"mucosal gland cell"	"epithelial cell"
"radial glia"	"neural cell"
"germ cells"	"germ cell"
"intestinal epithelial cells"	"epithelial cell"
"antigen presenting cells"	"immune cell"
"proximal tubule cells"	"epithelial cell"
"ovarian cells"	"epithelial cell"
"cardiomyocytes"	"muscle cell"
"osteoblasts"	"connective tissue cell"
"steroidogenic cells"	"endocrine cell"
"oxyntic cells"	"epithelial cell"
"epidermal stem/progenitor cells"	"epithelial cell"
"merkel cells"	"epithelial cell"
"hair follicle stem cells"	"epithelial cell"
"alveolar epithelial type i cells"	"epithelial cell"
"alveolar epithelial type ii cells"	"epithelial cell"
"muscle satellite cells"	"muscle cell"
"mammary gland epithelial cells"	"epithelial cell"
"photoreceptor cells"	"neural cell"
"salivary gland mucous cell"	"epithelial cell"
"mitochondria-rich cells"	"other"
"luminal secretory cells"	"epithelial cell"
"cycling t cells"	"t/nk cell"
"adrenal cells"	"other"
"muscle cells"	"muscle cell"
"pancreatic a cells"	"endocrine cell"
"t helper cells"	"t/nk cell"
"cell cycle cells"	"other"
"liver vascular endothelial cells"	"endothelial cell"
"adrenal cortex cells"	"endocrine cell"
"ribosomal protein expressing cells"	"other"
"prostate cells"	"epithelial cell"
"kidney tubule cells"	"epithelial cell"
"granulosa cells"	"other"
"oviductal epithelial cells"	"epithelial cell"
"kidney proximal tubule cells"	"epithelial cell"
"epsilon cells"	"endocrine cell"
"cd4 t cells"	"t/nk cell"
"memory b cell"	"B cell"
"transitional b cell"	"B cell"
"cd8+ effector memory t cell"	"t/nk cell"
"naive cd8+ t cell"	"t/nk cell"
"proliferating cd8+ t cell"	"t/nk cell"
"conventional dendritic cell 1"	"myeloid cell"
"conventional dendritic cell 2"	"myeloid cell"
"classical monocyte"	"myeloid cell"
"non-classical monocyte"	"myeloid cell"
"proliferating nk cell"	"t/nk cell"
"innate lymphoid cell"	"t/nk cell"
"layer 2/3 excitatory neuron"	"neuronal cell"
"layer 5 excitatory neuron"	"neuronal cell"
"layer 4 excitatory neuron"	"neuronal cell"
"layer 6 excitatory neuron"	"neuronal cell"
"layer 5/6 excitatory neuron"	"neuronal cell"
"lamp5 interneuron"	"neuronal cell"
"parvalbumin interneuron"	"neuronal cell"
"sncg interneuron"	"neuronal cell"
"somatostatin interneuron"	"neuronal cell"
"neurogliaform cell"	"neuronal cell"
"vip interneuron"	"neuronal cell"
"schwann cell"	"glial cell"
"gamma cell"	"endocrine cell"
"neuronal progenitor cell"	"neuronal progenitor"
"fetal adrenal steroidogenic cell"	"endocrine cell"
"alveolar type ii cell"	"epithelial cell"
"skeletal muscle progenitor cell"	"muscle cell"
"radial glia"	"glial cell"
"nephron progenitor cell"	"progenitor cell"
"glutamatergic neuron"	"neuronal cell"
"gabaergic neuron"	"neuronal cell"
"cerebellar neuron"	"neuronal cell"
"cortical neuron"	"neuronal cell"
"fetal pancreatic ductal cell"	"epithelial cell"
"retinal pigment epithelial cell"	"epithelial cell"
"autonomic neuron"	"neuronal cell"
"cholinergic neuron"	"neuronal cell"
"ciliated epithelial cell"	"epithelial cell"
"synovial fibroblast"	"connective tissue cell"
"bipolar neuron"	"neuronal cell"
"myeloid progenitor cell"	"progenitor cell"
"lens fiber cell"	"epithelial cell"
"syncytiotrophoblast"	"epithelial cell"
"alveolar macrophage"	"immune cell"
"arterial endothelial cell"	"endothelial cell"
"capillary endothelial cell"	"endothelial cell"
"collecting duct principal cell"	"epithelial cell"
"collecting duct intercalated cell"	"epithelial cell"
"collecting duct cell"	"epithelial cell"
"distal convoluted tubule cell"	"epithelial cell"
"intercalated cell type a"	"epithelial cell"
"parietal epithelial cell"	"epithelial cell"
"thick ascending limb cell"	"epithelial cell"
"cd4+ memory t cell"	"t/nk cell"
"cd4+ naive t cell"	"t/nk cell"
"cd4+ central memory t cell"	"t/nk cell"
"cd8+ effector t cell"	"t/nk cell"
"cd8+ memory t cell"	"t/nk cell"
"cd8+ naive t cell"	"t/nk cell"
"cd8+ central memory t cell"	"t/nk cell"
"memory t cell"	"t/nk cell"
"pro-b cell"	"B cell"
"megakaryocyte progenitor"	"megakaryocyte/erythroid progenitor"
"mesenchymal stromal cell"	"stromal cell"
"cycling t cell"	"t/nk cell"
"alveolar type i cell"	"epithelial cell"
"secretory epithelial cell"	"epithelial cell"
"germinal center b cell"	"B cell"
"proliferating macrophage"	"myeloid cell"
"cd8+ tissue-resident memory t cell"	"t/nk cell"
"atypical memory b cell"	"B cell"
"venous endothelial cell"	"endothelial cell"
"hepatic stellate cell"	"stromal cell"
"liver sinusoidal endothelial cell"	"endothelial cell"
"portal endothelial cell"	"endothelial cell"
"progenitor cell"	"progenitor cell"
"adrenocortical cell"	"epithelial cell"
"chief cell"	"epithelial cell"
"ribosomal protein-high cell"	"other"
"distal tubule cell"	"epithelial cell"
"prostate luminal epithelial cell"	"epithelial cell"
"osteoclast"	"bone cell"
"spermatogonia"	"germ cell"
"mammary gland epithelial cell"	"epithelial cell"
"epididymal principal cell"	"epithelial cell"
"suprabasal squamous epithelial cell"	"epithelial cell"
"basal squamous epithelial cell"	"epithelial cell"
"glial cell"	"glial cell"
"peripheral neuron"	"neuron"
"fibro-adipogenic progenitor"	"stromal cell"
"muscle satellite cell"	"muscle cell"
"perineurial cell"	"glial cell"
"slow-twitch muscle fiber"	"muscle cell"
"basal keratinocyte"	"epithelial cell"
"granular keratinocyte"	"epithelial cell"
"suprabasal keratinocyte"	"epithelial cell"
"dermal fibroblast"	"stromal cell"
"sweat gland cell"	"epithelial cell"
"hair follicle cell"	"epithelial cell"
"interstitial cell of cajal"	"stromal cell"
"fast-twitch muscle fiber"	"muscle cell"
"sebocyte"	"epithelial cell"
"myeloid cell"	"myeloid cell"
"proliferating neutrophil"	"myeloid cell"
"mature b cell"	"B cell"
"immature neutrophil"	"myeloid cell"
"conjunctival epithelial cell"	"epithelial cell"
"rod photoreceptor"	"neuronal cell"
"corneal stromal cell"	"stromal cell"
"limbal stem cell"	"stem cell"
"lacrimal gland acinar cell"	"epithelial cell"
"retinal pigment epithelium"	"epithelial cell"
"corneal epithelial cell"	"epithelial cell"
"non-pigmented ciliary epithelial cell"	"epithelial cell"
"amacrine cell"	"neuronal cell"
"vitreous macrophage"	"myeloid cell"
"adipocyte progenitor cell"	"stromal cell"
"best4+ enterocyte"	"epithelial cell"
"tuft cell"	"epithelial cell"
"colonocyte"	"epithelial cell"
"liver endothelial cell"	"endothelial cell"
"interstitial macrophage"	"myeloid cell"
"innate-like t cell"	"t/nk cell"
"doublet or mixed t/b cell"	"mixed cell"
"muscle stem cell"	"stem cell"
"tenocyte"	"connective tissue cell"
"fast-twitch skeletal muscle fiber"	"muscle cell"
"slow-twitch skeletal muscle fiber"	"muscle cell"
"stellate cell"	"connective tissue cell"
"epsilon cell"	"endocrine cell"
"prostate secretory epithelial cell"	"epithelial cell"
"hillock cell"	"epithelial cell"
"serous acinar cell"	"epithelial cell"
"effector memory cd8 t cell"	"t/nk cell"
"conventional dendritic cell type 1"	"myeloid cell"
"conventional dendritic cell type 2"	"myeloid cell"
"classical monocyte"	"myeloid cell"
"non-classical monocyte"	"myeloid cell"
"natural killer (nk) cells"	"t/nk cell"
"proliferating nk cells"	"t/nk cell"
"innate lymphoid cells (ilcs)"	"t/nk cell"
"pp cells (pancreatic polypeptide cells)"	"endocrine cell"
"mesenchymal stromal cells"	"stromal cell"
"cerebellar purkinje neurons"	"neuronal cell"
"mesenchymal progenitor cells"	"stromal cell"
"cerebellar neurons"	"neuronal cell"
"cortical neurons"	"neuronal cell"
"kidney progenitor cells"	"progenitor cell"
"pancreatic ductal cells"	"epithelial cell"
"gastric parietal cells"	"epithelial cell"
"thymic dendritic cells"	"immune cell"
"ionocytes"	"epithelial cell"
"central memory t cells"	"t/nk cell"
"tissue-resident memory cd8+ t cells"	"t/nk cell"
"activated cd8+ t cells"	"t/nk cell"
"conventional dendritic cells type 1 (cdc1)"	"immune cell"
"conventional dendritic cells type 2 (cdc2)"	"immune cell"
"megakaryocyte-erythroid progenitors"	"progenitor cell"
"pro-b cells"	"B cell"
"memory b cell"	"B cell"
"naive b cell"	"B cell"
"pre-b cells"	"B cell"
"t cell (cd4+)"	"t/nk cell"
"t cell (cd8+)"	"t/nk cell"
"dendritic cell (cdc1)"	"dendritic cell"
"dendritic cell (cdc2)"	"dendritic cell"
"liver endothelial cells"	"endothelial cell"
"adrenal cortex cells"	"endocrine cell"
"general cells"	"general cell"
"ribosomal protein-rich cell"	"general cell"
"kidney proximal tubule cell"	"epithelial cell"
"kidney proximal tubule cells"	"epithelial cell"
"hepatocytes"	"epithelial cell"
"chondrocytes"	"mesenchymal cell"
"decidual stromal cells"	"mesenchymal cell"
"esophageal smooth muscle cells"	"muscle cell"
"esophageal basal epithelial cells"	"epithelial cell"
"granular keratinocyte"	"epithelial cell"
"spinous keratinocyte"	"epithelial cell"
"suprabasal keratinocyte"	"epithelial cell"
"hair follicle cell"	"epithelial cell"
"basal/myoepithelial cells"	"epithelial cell"
"blood vascular endothelial cells"	"endothelial cell"
"blood vascular endothelial cell"	"endothelial cell"
"hematopoietic stem/progenitor cell"	"hematopoietic cell"
"corneal stromal cells"	"stromal cell"
"ciliary body epithelial cells"	"epithelial cell"
"retinal ganglion cells"	"neuronal cell"
"liver macrophages (kupffer cells)"	"immune cell"
"mixed b and t cell"	"B cell"
"secretory luminal epithelial cells"	"epithelial cell"
"neuropeptidergic neurons"	"neuronal cell"
"muscle progenitor cell"	"stromal cell"
"synovial cells"	"stromal cell"
"alveolar epithelial type ii cells"	"epithelial cell"
"mesothelial cells"	"stromal cell"
"tendon cells"	"stromal cell"
"neuroendocrine cells"	"neuronal cell"
"salivary gland cells"	"epithelial cell"
"pro-b cells"	"B cell"
"adrenal cortex cells"	"epithelial cell"
"ribosomal proteins"	"ribosomal proteins → other"
"myeloid cells"	"myeloid cells → myeloid cell"
"thyroid epithelial cell"	"thyroid epithelial cell → epithelial cell"
"embryonic stem cells"	"embryonic stem cells → stem cell"
"gastric mucosa cells"	"gastric mucosa cells → epithelial cell"
"theca cell"	"theca cell → stromal cell"
"urothelial cell"	"urothelial cell → epithelial cell"
"spermatogonial stem cell"	"spermatogonial stem cell → stem cell"
"esophageal epithelial cells"	"esophageal epithelial cells → epithelial cell"
"esophageal immune cells"	"esophageal immune cells → immune cell"
"esophageal mast cells"	"esophageal mast cells → immune cell"
"esophageal endothelial cells"	"esophageal endothelial cells → endothelial cell"
"esophageal basal cells"	"esophageal basal cells → epithelial cell"
"myofibroblasts"	"myofibroblasts → stromal cell"
"basal keratinocytes"	"basal keratinocytes → epithelial cell"
"suprabasal keratinocytes"	"suprabasal keratinocytes → epithelial cell"
"glandular cells"	"glandular cells → epithelial cell"
"stem cell"	"stem cell → stem cell"
"acinar cells"	"acinar cells → epithelial cell"
"ductal cells"	"ductal cells → epithelial cell"
"liver hepatocyte"	"epithelial cell"
"retinal cell"	"neuronal cell"
"thymic epithelial cells"	"epithelial cell"
"thymic t cells"	"t/nk cell"
"monocyte/macrophage"	"myeloid cell"
"macrophage/monocyte"	"myeloid cell"
"liver resident macrophage (kupffer cell)"	"myeloid cell"
"liver endothelial cell"	"endothelial cell"
"thyroid follicular cell"	"epithelial cell"
"intestinal epithelial cell"	"epithelial cell"
"cartilage cell"	"connective tissue cell"
"metabolic cell"	"metabolic cell"
"renal tubule cell"	"epithelial cell"
"gastric cell"	"epithelial cell"
"alveolar epithelial cell type 1 (at1 cell)"	"epithelial cell"
"alveolar epithelial cell type 2 (at2 cell)"	"epithelial cell"
"cytoplasmic epithelial cell"	"epithelial cell"
"mucus-secreting cell"	"epithelial cell"
"salivary gland ductal cell"	"epithelial cell"
"t cell cd8+"	"t/nk cell"
"t cell cd4+"	"t/nk cell"
"platelet or megakaryocyte"	"blood cell"
"muscle progenitor cell"	"muscle cell"
"erythrocyte precursor"	"blood cell"
"purkinje cells"	"neuronal cell"
"exocrine pancreas cells"	"epithelial cell"
"placental cells"	"placental cell"
"erythrocyte progenitors"	"blood cell"
"mesenchymal stem/stromal cells"	"stem cell"
"alveolar epithelial type i cell"	"epithelial cell"
"cycling b cell"	"B cell"
"thyroid epithelial cell"	"epithelial cell"
"gastric chief cell"	"epithelial cell"
"renal tubular cell"	"epithelial cell"
"endometrial cell"	"epithelial cell"
"pancreatic stellate cell"	"stromal cell"
"spermatogenic cells"	"reproductive cell"
"platelet-producing cell"	"blood cell"
"intestinal secretory cell"	"epithelial cell"
"intercaleated cells"	"epithelial cell"
"prostate epithelial cells"	"epithelial cell"
"muscle progenitor cells"	"muscle cell"
"myofibers"	"muscle cell"
"corneal keratocyte"	"stromal cell"
"retinal bipolar neuron"	"neuron"
"type ii alveolar cell"	"epithelial cell"
"salivary gland serous cell"	"epithelial cell"
"cytotoxic cd4 t cell"	"t/nk cell"
"proliferating lymphocyte"	"t/nk cell"
"effector memory t cell"	"t/nk cell"
"effector cd8 t cell"	"t/nk cell"
"conventional dendritic cell type 1"	"myeloid cell"
"conventional dendritic cell type 2"	"myeloid cell"
"classical monocyte"	"myeloid cell"
"non-classical monocyte"	"myeloid cell"
"proliferating nk cell"	"t/nk cell"
"hematopoietic stem and progenitor cell"	"stem cell"
"gamma delta t cell"	"t/nk cell"
"excitatory neuron l2/3"	"neuron"
"excitatory neuron"	"neuron"
"excitatory neuron l4"	"neuronal cell"
"excitatory neuron l5/6"	"neuronal cell"
"excitatory neuron l5 pt"	"neuronal cell"
"excitatory neuron l6 ct"	"neuronal cell"
"excitatory neuron l6b"	"neuronal cell"
"inhibitory neuron lamp5"	"neuronal cell"
"opc"	"glial cell"
"inhibitory neuron pvalb"	"neuronal cell"
"inhibitory neuron sncg"	"neuronal cell"
"inhibitory neuron sst"	"neuronal cell"
"inhibitory neuron sst/npy"	"neuronal cell"
"inhibitory neuron vip"	"neuronal cell"
"fibroblast/vlmc"	"stromal cell"
"epsilon cell"	"endocrine cell"
"gamma cell (pp cell)"	"endocrine cell"
"fetal adrenal cortex cell"	"endocrine cell"
"glial progenitor cell"	"glial cell"
"renal tubule progenitor cell"	"epithelial cell"
"mesenchymal progenitor"	"stromal cell"
"pancreatic duct cell"	"epithelial cell"
"basal epidermal cell"	"epithelial cell"
"peripheral neuron"	"neuronal cell"
"antigen presenting cell"	"antigen presenting cell"
"alveolar type 1 cell"	"epithelial cell"
"lymphatic endothelial cell"	"endothelial cell"
"capillary aerocyte"	"endothelial cell"
"plasmacytoid dendritic cell"	"antigen presenting cell"
"arterial endothelial cell"	"endothelial cell"
"capillary endothelial cell"	"endothelial cell"
"cytotoxic lymphocyte"	"t/nk cell"
"naive t cell"	"t/nk cell"
"memory t cell"	"t/nk cell"
"naive cd8+ t cell"	"t/nk cell"
"megakaryocyte progenitor"	"progenitor cell"
"b cell progenitor"	"progenitor cell"
"mesenchymal stromal cell"	"stromal cell"
"proliferating t cell"	"t/nk cell"
"venous endothelial cell"	"endothelial cell"
"airway epithelial cell"	"epithelial cell"
"submucosal gland cell"	"epithelial cell"
"germinal center b cell"	"B cell"
"cd8+ cytotoxic t cell"	"t/nk cell"
"proliferating lymphocytes"	"lymphocyte"
"proliferating myeloid cell"	"myeloid cell"
"proliferating t follicular helper cell"	"t/nk cell"
"ilc3"	"t/nk cell"
"precursor b cell"	"B cell"
"arterial endothelial cell"	"endothelial cell"
"atrial cardiomyocyte"	"muscle cell"
"capillary endothelial cell"	"endothelial cell"
"endocardial cell"	"endothelial cell"
"nk/t cell"	"t/nk cell"
"venous endothelial cell"	"endothelial cell"
"ventricular cardiomyocyte"	"muscle cell"
"kupffer cell"	"myeloid cell"
"pdc"	"myeloid cell"
"activated hepatic stellate cell"	"stromal cell"
"activated cell"	"activated cell"
"stressed cell"	"stressed cell"
"gastric mucous neck cell"	"epithelial cell"
"t-cells"	"t/nk cell"
"gastric foveolar cells"	"epithelial cell"
"b-cells"	"B cell"
"gonadal support cells"	"support cell"
"epididymal epithelial cells"	"epithelial cell"
"epicardial cells"	"epithelial cell"
"gonadal steroidogenic cells"	"steroidogenic cell"
"kidney thick ascending limb cells"	"epithelial cell"
"steroidogenic cells (cyp17a1+)"	"steroidogenic cell"
"kidney collecting duct cells"	"epithelial cell"
"kidney intercalated cells"	"epithelial cell"
"choroid plexus cells"	"epithelial cell"
"luminal epithelial cells"	"epithelial cell"
"suprabasal epithelial cells"	"epithelial cell"
"skeletal myocytes"	"muscle cell"
